id_prj,id_version,version_name,level1,level2,hist_date,hist_value,flag_adj
106,1,Version 1,Bogor,Sandals,2023-02-27T00:00:00.000000000Z,1349.0,1
106,1,Version 1,Bogor,Sandals,2023-03-06T00:00:00.000000000Z,1312.0,1
106,1,Version 1,Bogor,Sandals,2023-03-13T00:00:00.000000000Z,1482.0,1
106,1,Version 1,Bogor,Sandals,2023-03-20T00:00:00.000000000Z,1318.0,1
106,1,Version 1,Bogor,Sandals,2023-03-27T00:00:00.000000000Z,1471.0,1
106,1,Version 1,Bogor,Sandals,2023-04-03T00:00:00.000000000Z,1386.0,1
106,1,Version 1,Bogor,Sandals,2023-04-10T00:00:00.000000000Z,1471.0,1
106,1,Version 1,Bogor,Sandals,2023-04-17T00:00:00.000000000Z,1647.0,1
106,1,Version 1,Bogor,Sandals,2023-04-24T00:00:00.000000000Z,1701.0,1
106,1,Version 1,Bogor,Sandals,2023-05-01T00:00:00.000000000Z,1556.0,1
106,1,Version 1,Bogor,Sandals,2023-05-08T00:00:00.000000000Z,1643.0,1
106,1,Version 1,Bogor,Sandals,2023-05-15T00:00:00.000000000Z,1690.0,1
106,1,Version 1,Bogor,Sandals,2023-05-22T00:00:00.000000000Z,1649.0,1
106,1,Version 1,Bogor,Sandals,2023-05-29T00:00:00.000000000Z,1630.0,1
106,1,Version 1,Bogor,Sandals,2023-06-05T00:00:00.000000000Z,1545.0,1
106,1,Version 1,Bogor,Sandals,2023-06-12T00:00:00.000000000Z,1614.0,1
106,1,Version 1,Bogor,Sandals,2023-06-19T00:00:00.000000000Z,1593.0,1
106,1,Version 1,Bogor,Sandals,2023-06-26T00:00:00.000000000Z,1519.0,1
106,1,Version 1,Bogor,Sandals,2023-07-03T00:00:00.000000000Z,1536.0,1
106,1,Version 1,Bogor,Sandals,2023-07-10T00:00:00.000000000Z,1701.0,1
106,1,Version 1,Bogor,Sandals,2023-07-17T00:00:00.000000000Z,1695.0,1
106,1,Version 1,Bogor,Sandals,2023-07-24T00:00:00.000000000Z,1636.0,1
106,1,Version 1,Bogor,Sandals,2023-07-31T00:00:00.000000000Z,1669.0,1
106,1,Version 1,Bogor,Sandals,2023-08-07T00:00:00.000000000Z,1486.0,1
106,1,Version 1,Bogor,Sandals,2023-08-14T00:00:00.000000000Z,1527.0,1
106,1,Version 1,Bogor,Sandals,2023-08-21T00:00:00.000000000Z,1542.0,1
